Score	Presentation	Lecture	subID
53	Computer	Physical	1
49	Computer	Physical	2
47	Computer	Physical	3
42	Computer	Physical	4
51	Computer	Physical	5
34	Computer	Physical	6
44	Standard	Physical	7
48	Standard	Physical	8
35	Standard	Physical	9
18	Standard	Physical	10
32	Standard	Physical	11
27	Standard	Physical	12
47	Computer	Social	13
42	Computer	Social	14
39	Computer	Social	15
37	Computer	Social	16
42	Computer	Social	17
33	Computer	Social	18
13	Standard	Social	19
16	Standard	Social	20
16	Standard	Social	21
10	Standard	Social	22
11	Standard	Social	23
6	Standard	Social	24
45	Computer	History	25
41	Computer	History	26
38	Computer	History	27
36	Computer	History	28
35	Computer	History	29
33	Computer	History	30
46	Standard	History	31
40	Standard	History	32
29	Standard	History	33
21	Standard	History	34
30	Standard	History	35
20	Standard	History	36
